S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,
153,NSLB,,49.69,945.00,958.00,941.00,950.00,946.79,"1,611.00",950.00,"1,525,279.40",23,0.00,17.00,0.00,1.81,0.34,813.76,837.04,"1,550.00",702.00,
154,NTC,,40.83,875.00,879.90,865.20,867.00,871.35,"40,453.00",874.00,"35,248,641.60",440,-7.00,14.70,-0.80,1.70,-0.50,881.89,898.17,"1,799.90",803.00,
155,NUBL,,41.31,"1,025.00","1,045.00","1,025.00","1,033.00","1,037.38","4,642.00","1,040.00","4,815,502.90",77,-7.00,20.00,-0.67,1.95,-0.42,968.12,985.32,"1,310.00",865.00,
156,NYADI,,54.07,330.20,348.00,330.20,338.00,338.29,"9,377.00",336.00,"3,172,121.60",166,2.00,17.80,0.60,5.39,-0.09,302.82,313.25,566.00,241.00,
157,OHL,,47.98,580.00,580.00,561.50,561.50,568.49,"5,419.00",579.90,"3,080,670.70",43,-18.40,18.50,-3.17,3.29,-1.25,482.94,479.95,602.60,413.80,
158,PBD85,,42.60,770.00,770.00,770.00,770.00,770.00,68.00,759.00,"52,360.00",1,11.00,0.00,1.45,0.00,0.00,0.00,0.00,918.00,759.00,
159,PBD88,,47.71,804.80,812.00,800.30,800.30,809.47,400.00,821.00,"323,787.50",4,-20.70,11.70,-2.52,1.46,-1.15,0.00,0.00,"1,000.00",798.00,
160,PCBL,,40.00,229.50,229.50,220.50,225.90,224.77,"56,414.00",225.00,"12,679,936.90",297,0.90,9.00,0.40,4.08,0.50,232.90,244.87,392.00,209.50,
161,PFL,,50.72,380.00,408.00,380.00,408.00,389.77,"9,550.00",387.00,"3,722,328.60",93,21.00,28.00,5.43,7.37,4.47,365.73,364.70,630.00,290.00,
162,PHCL,,59.22,333.20,359.30,316.00,345.00,345.28,"301,371.00",326.70,"104,058,502.20","6,933",18.30,43.30,5.60,13.70,-0.08,0.00,0.00,359.30,196.90,
